シリーズ,商品コード,年月,実績,ハイブリッド,現行計画
シャード,BBBBB000227,202406,2,5.6621,5.3203125
シャード,BBBBB000228,202406,1,0.6863,1.182291667
シャード,BBBBB000229,202406,2,1.2011,1.7734375
シャード,BBBBB000230,202406,5,0.1716,0
シャード,BBBBB000231,202406,0,0.1716,1.7734375
シャード,BBBBB000232,202406,2,1.3726,0.591145833
シャード,BBBBB000233,202406,1,0.6863,1.182291667
シャード,BBBBB000234,202406,1,2.9169,1.182291667
シャード,BBBBB000235,202406,2,1.3726,1.182291667
シャード,BBBBB000236,202406,1,0.8579,0.591145833
シャード,BBBBB000237,202406,3,2.5737,1.7734375
シャード,BBBBB000238,202406,2,1.5442,1.182291667
シャード,BBBBB000239,202406,2,1.8874,2.364583333
シャード,BBBBB000240,202406,0,4.4611,5.3203125
シャード,BBBBB000241,202406,3,2.059,7.684895833
シャード,BBBBB000242,202406,2,7.0348,5.911458333
シャード,BBBBB000243,202406,5,1.2011,0.591145833
シャード,BBBBB000244,202406,4,0.1716,0.591145833
シャード,BBBBB000245,202406,2,0.1716,0
シャード,BBBBB000246,202406,1,0.6863,0
シャード,BBBBB000247,202406,6,0.6863,0.591145833
シャード,BBBBB000248,202406,0,1.7158,1.7734375
シャード,BBBBB000249,202406,0,2.2305,1.7734375
シャード,BBBBB000250,202406,1,1.5442,2.364583333
シャード,BBBBB000251,202406,0,1.2011,0
シャード,BBBBB000252,202406,2,1.3726,1.182291667
シャード,BBBBB000253,202406,1,1.2011,0.591145833
シャード,BBBBB000254,202406,1,0.8579,0.591145833
シャード,BBBBB000255,202406,1,1.2011,1.7734375
シャード,BBBBB000256,202406,2,1.8874,2.955729167
シャード,BBBBB000257,202406,2,1.7158,1.182291667
シャード,BBBBB000258,202406,2,0.6863,0
シャード,BBBBB000259,202406,3,2.5737,2.364583333
シャード,BBBBB000260,202406,2,0.5147,0
シャード,BBBBB000261,202406,6,4.1179,4.138020833
シャード,BBBBB000262,202406,3,2.059,1.182291667
シャード,BBBBB000263,202406,2,3.7748,0.591145833
シャード,BBBBB000264,202406,3,1.0295,0.591145833
シャード,BBBBB000265,202406,2,0.1716,0
