品目,マッピング,年月,実績,森①,森②,計画
枠_新,CEA7新,202511,39036,"22,988.09","23,790.74",25562.16034
枠_旧,CEA7旧,202511,31821,"47,868.91","47,066.26",45294.83966
枠_新,CEA8新,202511,78,338.59,347.59,480.8891109
枠_旧,CEA8旧,202511,1255,994.41,985.41,852.1108891
枠_新,CFA7新,202511,5427,"3,567.11","3,749.40",4028.57367
枠_旧,CFA7旧,202511,5740,"7,599.89","7,417.60",7138.42633
本体_新,AAAA1新,202511,65566,"61,206.89","41,559.73",25885.0182
本体_旧,AAAA1旧,202511,28860,"33,219.11","52,866.27",68540.9818
本体_新,AAAA2新,202511,4458,"4,268.42","2,549.67",1588.036245
本体_旧,AAAA2旧,202511,1335,"1,524.58","3,243.33",4204.963755
本体_新,AABA1新,202511,1169244,"1,070,717.92","953,798.47",953798.4727
本体_旧,AABA1旧,202511,2310119,"2,408,645.08","2,525,564.53",2525564.527
本体_新,AABA2新,202511,80543,"90,106.81","88,977.45",61188.05353
本体_旧,AABA2旧,202511,142665,"133,101.19","134,230.55",162019.9465
本体_新,AACA1新,202511,35703,"22,588.57","19,629.81",12226.20689
本体_旧,AACA1旧,202511,8897,"22,011.43","24,970.19",32373.79311
本体_新,AACA2新,202511,2257,"2,070.87","1,433.94",893.1161894
本体_旧,AACA2旧,202511,1001,"1,187.13","1,824.06",2364.883811
本体_新,BAAA1新,202511,143112,"158,232.68","170,973.57",188130.6214
本体_旧,BAAA1旧,202511,543170,"528,049.32","515,308.43",498151.3786
本体_新,BAAA2新,202511,27537,"31,227.92","31,590.76",31590.76417
本体_旧,BAAA2旧,202511,87703,"84,012.08","83,649.24",83649.23583
本体_新,BABA1新,202511,48709,"38,596.58","38,800.42",33698.8254
本体_旧,BABA1旧,202511,74221,"84,333.42","84,129.58",89231.1746
本体_新,BABA2新,202511,11239,"8,928.51","8,557.20",6568.433706
本体_旧,BABA2旧,202511,12722,"15,032.49","15,403.80",17392.56629
本体_新,BACA1新,202511,7850,"5,656.40","5,702.32",6974.420531
本体_旧,BACA1旧,202511,17592,"19,785.60","19,739.68",18467.57947
本体_新,BACA2新,202511,1474,852.95,911.48,911.4829127
本体_旧,BACA2旧,202511,1851,"2,472.05","2,413.52",2413.517087
本体_新,CAAA1新,202511,612370,"711,699.22","766,248.18",766248.1849
本体_旧,CAAA1旧,202511,2182828,"2,083,498.78","2,028,949.82",2028949.815
本体_新,CAAA2新,202511,119989,"134,641.57","131,011.78",113785.9631
本体_旧,CAAA2旧,202511,295091,"280,438.43","284,068.22",301294.0369
本体_新,CABA1新,202511,36906,"35,375.84","35,207.91",35207.91215
本体_旧,CABA1旧,202511,91529,"93,059.16","93,227.09",93227.08785
本体_新,CABA2新,202511,10123,"10,197.46","9,978.11",6861.753019
本体_旧,CABA2旧,202511,14908,"14,833.54","15,052.89",18169.24698
本体_新,CACA1新,202511,19788,"19,188.22","20,102.32",22119.56578
本体_旧,CACA1旧,202511,60902,"61,501.78","60,587.68",58570.43422
本体_新,CACA2新,202511,2726,"2,523.35","2,485.90",2159.04945
本体_旧,CACA2旧,202511,5150,"5,352.65","5,390.10",5716.95055
本体_新,DAAA1新,202511,539897,"507,366.41","516,317.98",631500.5819
本体_旧,DAAA1旧,202511,1763755,"1,796,285.59","1,787,334.02",1672151.418
本体_新,DAAA2新,202511,196099,"210,211.48","226,875.64",226875.6356
本体_旧,DAAA2旧,202511,631521,"617,408.52","600,744.36",600744.3644
本体_新,DABA1新,202511,18170,"18,804.29","21,675.55",34123.45308
本体_旧,DABA1旧,202511,106309,"105,674.71","102,803.45",90355.54692
本体_新,DABA2新,202511,8275,"6,475.60","7,162.49",7881.24323
本体_旧,DABA2旧,202511,20475,"22,274.40","21,587.51",20868.75677
本体_新,DACA1新,202511,14202,"11,696.38","12,735.77",17532.54516
