シリーズ,商品コード,年月,実績,ハイブリッド,現行計画
イモス,CCCCC000430,202406,29,29.1738,28.59957346
イモス,CCCCC000431,202406,43,34.5646,0
イモス,CCCCC000432,202406,29,27.2712,25.81150403
イモス,CCCCC000433,202406,46,27.1126,31.77444948
イモス,CCCCC000434,202406,43,30.9179,45.20577741
イモス,CCCCC000435,202406,21,63.897,87.56088307
イモス,CCCCC000436,202406,34,33.6133,42.13055445
イモス,CCCCC000437,202406,23,34.0889,23.98673903
イモス,CCCCC000438,202406,35,22.5146,32.20576092
イモス,CCCCC000439,202406,23,24.4172,30.75222953
イモス,CCCCC000440,202406,23,34.8817,31.55731807
イモス,CCCCC000441,202406,30,25.0514,27.36948428
イモス,CCCCC000442,202406,29,34.0889,26.75443969
イモス,CCCCC000443,202406,32,32.1863,31.05975182
イモス,CCCCC000444,202406,18,19.1849,22.14160526
イモス,CCCCC000445,202406,25,29.3323,26.75443969
イモス,CCCCC000446,202406,32,23.783,24.90930592
イモス,CCCCC000447,202406,36,30.9179,20.60399378
イモス,CCCCC000448,202406,29,33.7718,27.67700657
イモス,CCCCC000449,202406,24,45.8219,38.13276461
イモス,CCCCC000450,202406,24,27.4297,29.0524868
イモス,CCCCC000451,202406,32,22.8317,25.60903577
イモス,CCCCC000452,202406,21,27.4297,27.98452887
イモス,CCCCC000453,202406,17,32.8205,35.67258625
イモス,CCCCC000454,202406,28,38.0528,41.82303216
イモス,CCCCC000455,202406,37,35.3574,22.14160526
イモス,CCCCC000456,202406,22,29.9666,28.59957346
イモス,CCCCC000457,202406,37,24.5758,31.42540559
イモス,CCCCC000458,202406,33,34.8817,27.36948428
イモス,CCCCC000459,202406,32,36.7844,31.36727412
イモス,CCCCC000460,202406,26,25.8442,23.98673903
イモス,CCCCC000461,202406,21,16.6481,25.8318728
イモス,CCCCC000462,202406,18,32.3449,31.36727412
イモス,CCCCC000463,202406,22,36.6258,24.90930592
イモス,CCCCC000464,202406,30,44.2364,43.36064363
イモス,CCCCC000465,202406,70,27.5883,34.75001937
イモス,CCCCC000466,202406,30,15.8553,25.21682821
イモス,CCCCC000467,202406,27,25.3685,27.98452887
イモス,CCCCC000468,202406,25,25.0514,22.44912756
イモス,CCCCC000469,202406,21,38.5284,21.52656067
イモス,CCCCC000470,202406,33,30.4422,25.52435051
イモス,CCCCC000471,202406,40,30.1251,20.29647149
イモス,CCCCC000472,202406,54,76.5812,42.55397046
イモス,CCCCC000473,202406,34,37.8942,27.06196198
イモス,CCCCC000474,202406,24,34.7232,24.87855811
イモス,CCCCC000475,202406,25,31.235,34.92141241
イモス,CCCCC000476,202406,37,33.2962,28.59957346
イモス,CCCCC000477,202406,36,33.7718,0
イモス,CCCCC000478,202406,35,35.6745,45.67864778
イモス,CCCCC000479,202406,26,21.5632,23.98673903
イモス,CCCCC000480,202406,21,27.4297,40.8586222
イモス,CCCCC000481,202406,30,29.808,26.12248601
イモス,CCCCC000482,202406,26,27.1126,22.14160526
イモス,CCCCC000483,202406,17,30.9179,21.83408296
イモス,CCCCC000484,202406,28,32.662,22.44912756
イモス,CCCCC000485,202406,19,26.0027,20.29647149
イモス,CCCCC000486,202406,38,33.4547,23.98673903
